,time_id,road_id,segment,flow,speed,var_flow_8,var_speed_8,var_space_flow_8,var_space_speed_8,diff_flow_8,diff_speed_8,diff_kalman_flow,diff_kalman_speed,result_flow,is_crash
59,1,6,107,161,72,488.3,12.2,1115.266667,13.71428571,-29.5,2.75,146.6446598,0.72935388,-48.53207166,0
60,1,4,116,174,60,94.7,1.3,692.2571429,135.8285714,-16.5,-0.5,-9.4938575,-0.51664177,0.0,0
61,1,3,214,116,69,164.0,7.3,610.2666667,438.4095238,-22.5,5.5,-21.0408745,4.00595492,0.0,0
62,1,4,111,164,11,29.2,59.3,726.1238095,791.0666667,9.0,-9.25,3.3410642,0.47689017,0.0,1
63,0,4,114,142,69,385.7,1.3,467.1222222,4.666666667,-19.0,1.75,-8.362805,1.07799158,0.0,0
64,0,5,103,30,76,33.8,5.7,111.2666667,15.98095238,-8.0,1.0,-101.3060983,0.27030396,0.0,0
65,0,2,219,98,48,2590.3,51.3,2969.095238,227.0666667,-103.0,15.75,-46.9364218,1.61813035,-95.82852784,0
66,1,3,215,83,23,17.0,3.7,1203.495238,477.2095238,-6.25,-2.25,-6.00413993,-0.00040113,0.0,1
67,0,3,109,69,75,89.3,3.3,279.5428571,38.4952381,-0.75,0.5,-0.92117506,0.18393161,0.0,0
68,1,4,214,170,73,69.7,0.2,1443.828571,16.0,-13.5,0.25,3.6022191,0.01571957,0.0,0
69,0,2,111,18,73,11.0,0.0,83.4952381,9.285714286,0.0,0.0,-0.9396123,0.0,0.0,0
70,1,4,219,168,71,132.7,3.7,1125.12381,14.4952381,18.5,-4.0,-41.322189,-0.30765143,0.0,0
71,0,1,107,101,76,176.0,0.0,402.9238095,6.666666667,7.5,0.0,-0.1302786,0.0001013,0.0,0
72,1,3,106,112,33,13.8,5.3,1075.6,15.98095238,6.75,4.25,1.4392816,-0.13263523,0.0,0
73,1,4,110,128,12,77.5,2.2,271.9714286,39.88571429,-2.5,-2.25,1.7212684,0.11114033,0.0,0
74,0,2,113,21,81,9.7,0.0,47.17142857,33.0952381,1.0,0.0,0.66199949,0.0,0.0,0
75,0,3,219,90,65,129.2,4.3,186.0952381,3.838095238,-2.75,-2.0,-3.18031921,-0.00561798,0.0,0
76,1,4,109,149,22,314.7,7.2,436.9714286,7.542857143,-1.5,5.25,-5.5312397,-0.51911292,0.0,0
77,1,4,205,129,72,340.8,3.5,790.6857143,12.06666667,15.5,0.0,9.2361458,-0.45428707,0.0,0
78,1,2,112,75,58,1732.5,9.7,1724.257143,359.4952381,-11.25,-4.75,-7.22823653,-2.83975086,0.0,1
79,0,3,203,110,59,23.7,15.3,608.0666667,68.0952381,-6.0,1.75,-0.5828064,1.27785416,0.0,0
80,1,1,112,112,69,324.5,4.7,2966.838095,348.8380952,-35.0,4.0,-22.1441072,0.29175763,0.0,0
81,1,1,114,171,53,182.5,12.5,2062.838095,270.9238095,-5.0,0.0,-4.2500416,0.51002843,0.0,0
82,1,1,203,121,16,198.2,1.0,961.0952381,67.83809524,17.25,1.25,13.4554436,0.08985529,0.0,0
83,1,1,113,185,14,629.2,3.2,1480.257143,395.6857143,5.25,0.25,5.326153,0.00221223,0.0,1
84,1,2,109,208,15,190.3,9.8,1326.495238,321.952381,-24.5,-4.25,-10.9311829,-0.0683128,-151.5790695,0
85,0,4,117,71,74,71.2,1.7,131.6857143,2.123809524,-12.75,1.5,-8.16650778,0.02992815,0.0,0
86,1,4,133,181,65,503.8,160.8,1325.285714,123.352381,-1.75,9.5,6.3264732,0.10990125,0.0,0
87,0,3,203,110,57,327.2,13.7,760.0666667,56.28571429,21.5,-3.5,21.41890158,-2.14797252,0.0,0
88,1,2,205,62,71,61.3,3.5,541.8777778,937.5555556,-8.0,1.25,-4.0727273,0.91687958,0.0,0
89,1,3,205,111,69,19.8,1.3,136.8095238,252.6666667,4.25,-0.75,3.1412832,-0.23313979,0.0,0
